Gene	Module
LINC00173	geneM0
ZFP62	geneM22
Z98881.1	geneM0
ERI2	geneM0
TOMM7	geneM15
TRPV1	geneM0
ZNF33B	geneM8
PDXDC2P	geneM8
ZNF512B	geneM14
AMZ2	geneM0
ZNF431	geneM0
FAM150A	geneM0
NF1	geneM1
VKORC1L1	geneM2
ZNF418	geneM14
DAPK1	geneM13
HLA-DQA1	geneM0
AC087392.1	geneM0
COL27A1	geneM0
CXorf24	geneM0
GM2A	geneM3
HIST1H2AI	geneM0
CLPSL2	geneM1
S100A2	geneM0
SNHG17	geneM0
ZNF700	geneM0
POU3F4	geneM3
ANKRD20A1	geneM0
CD47	geneM1
TLE1	geneM3
MAML3	geneM0
HIST1H2AG	geneM0
STRN3	geneM14
ZNF239	geneM0
CTBP1-AS2	geneM4
ZSCAN16	geneM2
MVB12B	geneM2
C6orf106	geneM0
ADA	geneM0
ARID5A	geneM5
PATE2	geneM0
PPTC7	geneM7
NHLRC2	geneM3
HIST1H2AD	geneM0
ZFP28	geneM0
KIAA1211L	geneM1
CBWD3	geneM0
SCN8A	geneM1
LAMB3	geneM21
HIST3H2BB	geneM0
KPNA5	geneM30
ANKRD36B	geneM8
ARHGEF12	geneM3
ZNF252P	geneM0
PDLIM7	geneM0
FLNA	geneM5
TMEM26	geneM0
SRGAP1	geneM3
OR2L8	geneM1
FAM3C	geneM1
NOP9	geneM19
SLC39A10	geneM1
RP11-425I13.3	geneM0
CASP4	geneM5
RP11-192P3.5	geneM0
AP2A1	geneM7
PCDHB16	geneM4
HIST1H3E	geneM0
ZNF585A	geneM7
FUT11	geneM20
LINC00087	geneM8
ANXA4	geneM0
LAGE3	geneM2
WDR5B	geneM2
FAM163B	geneM0
NPIPB9	geneM0
WDR45	geneM0
METTL9	geneM0
ZNF138	geneM0
ZNF429	geneM0
ZNF470	geneM11
SERTAD1	geneM5
ZNF100	geneM4
CXorf40B	geneM0
ZNF398	geneM0
ZSCAN25	geneM0
ANXA6	geneM9
ZNF441	geneM8
GMFB	geneM0
ZNF420	geneM10
ZNF763	geneM4
ZMYM1	geneM3
HIST1H4C	geneM0
RP5-874C20.3	geneM0
MAFG	geneM0
OR2T32P	geneM1
ARRDC1	geneM12
KIAA1671	geneM0
IGF2R	geneM19
ZNF300P1	geneM2
NPSR1-AS1	geneM2
GAL3ST4	geneM6
DYNC1H1	geneM19
SLC6A17	geneM1
PCBP2	geneM7
ZGPAT	geneM14
SLC25A29	geneM0
PGAP1	geneM0
SRC	geneM13
ZNF682	geneM0
ZNF772	geneM3
ZNF257	geneM1
PCNXL3	geneM2
ADAM32	geneM13
ACSL5	geneM5
AL133458.1	geneM0
LRRC8B	geneM1
RP11-452G18.2	geneM0
ABCB8	geneM0
HIST1H3J	geneM0
SND1	geneM19
ZNF785	geneM0
SULT1A2	geneM1
NEK5	geneM0
PSMD12	geneM7
GPR123	geneM1
BX936347.1	geneM0
PIWIL2	geneM0
FLJ27365	geneM0
C20orf112	geneM2
C9orf169	geneM4
SLC22A4	geneM20
ENTPD4	geneM1
C1D	geneM0
TBC1D9B	geneM0
HIST1H4J	geneM0
FAM110D	geneM0
SERPINA1	geneM6
TPSB2	geneM0
KANK2	geneM27
EIF4BP6	geneM0
C6orf141	geneM21
CCL4L2	geneM0
GTF2E2	geneM10
RAD54B	geneM0
ZNF165	geneM0
SYNGAP1	geneM17
RP11-589F5.3	geneM0
RAMP2-AS1	geneM0
FITM2	geneM0
BLM	geneM0
ZNF720	geneM4
DDI2	geneM1
SVIL	geneM27
C17orf102	geneM13
TRIM33	geneM4
LRP10	geneM3
PELI1	geneM5
ZNF833P	geneM0
ZNF655	geneM0
MRPL21	geneM0
UAP1L1	geneM2
BNIP3P1	geneM0
ZNF98	geneM0
FBXL22	geneM0
ZNF786	geneM0
ZNF517	geneM4
ZNF675	geneM0
SLC22A5	geneM3
OR8S1	geneM0
DACT3	geneM0
ADARB1	geneM1
ZNF860	geneM4
HTT	geneM1
C5AR1	geneM5
DIO3	geneM0
HIST1H3D	geneM0
DCHS2	geneM2
VEPH1	geneM0
SHPK	geneM4
GGT3P	geneM0
IPP	geneM4
OPALIN	geneM2
MAP3K5	geneM3
OGDHL	geneM1
C16orf47	geneM0
GSTK1	geneM0
HNRNPAB	geneM11
OR2L5	geneM1
STMN3	geneM8
HIST1H2BH	geneM0
PDGFA	geneM2
GYPE	geneM1
COL13A1	geneM0
SPN	geneM6
ZNF695	geneM0
PCDHB11	geneM3
ZNF628	geneM4
SLC2A10	geneM3
ZNF665	geneM0
RPF2	geneM10
FAM177B	geneM6
MIB2	geneM12
MYO5A	geneM1
C5orf56	geneM0
GZMM	geneM0
ATG7	geneM1
RP11-460N11.2	geneM0
SIPA1L1	geneM1
TTC30A	geneM4
SSPO	geneM0
ELANE	geneM0
RAB40C	geneM12
PIGN	geneM2
COL4A6	geneM0
ZNF624	geneM0
HHLA3	geneM7
RPS17P2	geneM4
TOPORS	geneM11
BCO2	geneM1
GPX1P1	geneM0
KCNMB2	geneM0
ENTPD6	geneM9
ENPP1	geneM0
CCDC154	geneM0
FAR1	geneM2
C5orf42	geneM8
AC022532.1	geneM4
ZNF841	geneM0
MFAP5	geneM3
ZNF615	geneM0
CXorf40A	geneM0
CDC42SE1	geneM10
MPEG1	geneM6
SERPINB2	geneM1
DPP4	geneM0
PDCD1LG2	geneM6
ZNF433	geneM0
DNAH10	geneM0
SLC22A24	geneM2
AC007952.6	geneM0
TBC1D3	geneM0
SPTAN1	geneM9
NMB	geneM2
HIST1H2BE	geneM0
ZNF595	geneM4
PARVA	geneM0
FRMPD2P1	geneM0
KLHL14	geneM1
FAM114A1	geneM0
RPE	geneM1
ZNF460	geneM20
HSPB9	geneM0
PHF2	geneM3
AL022341.1	geneM0
RPS26	geneM0
PTMAP2	geneM2
PSAP	geneM19
S100A10	geneM5
WDR96	geneM0
LHFPL5	geneM1
RPL37A	geneM15
TXNRD3	geneM0
CFD	geneM6
MAP1LC3C	geneM0
MCMBP	geneM5
EME2	geneM8
DHRS4-AS1	geneM0
KLHDC1	geneM4
ZNF81	geneM3
TAF13	geneM0
ZNF780A	geneM0
ATAD3A	geneM14
FAM118B	geneM3
ZNF461	geneM17
CTC-301O7.4	geneM0
AC122129.1	geneM2
CCDC180	geneM8
SLC9A8	geneM4
OCLN	geneM2
C4orf22	geneM1
AC011385.1	geneM0
HIST4H4	geneM0
ZNF181	geneM0
HIST1H2BF	geneM0
SLC22A20	geneM0
FAM212B	geneM0
ZNF44	geneM0
GPAA1	geneM2
ADAMTSL2	geneM0
SGTB	geneM1
ZNF790	geneM0
FAM49A	geneM16
MYO1C	geneM5
OR7E13P	geneM4
NKIRAS1	geneM1
MEIG1	geneM0
KIF13B	geneM2
NRAP	geneM3
ADH5	geneM3
SLC22A6	geneM3
HIST1H2BK	geneM0
TEAD4	geneM5
SPG7	geneM14
HIST1H4K	geneM0
HRNR	geneM0
IFNA1	geneM0
HES5	geneM3
C2orf27A	geneM4
ZNF677	geneM3
ERO1L	geneM7
F8A1	geneM0
ZNF823	geneM0
AP001597.1	geneM0
ZNF311	geneM0
ZNF347	geneM0
PLCG2	geneM6
FCHSD1	geneM0
ZNF71	geneM0
S100A6	geneM0
RPL12	geneM15
DNM3	geneM7
ZNF121	geneM28
MPZL1	geneM6
VPS13A	geneM8
MBP	geneM2
AKAP17A	geneM14
ELOVL2	geneM3
LEKR1	geneM0
C1orf122	geneM0
SNHG12	geneM20
PCDH20	geneM16
CLEC9A	geneM6
KEL	geneM2
NOL8	geneM11
IRAK4	geneM5
CCDC151	geneM24
DLGAP2	geneM1
MRPL42	geneM1
ENTPD7	geneM0
FCGR1B	geneM6
ZNF335	geneM0
RPS4X	geneM15
AGAP9	geneM0
ZNF273	geneM13
ZNF84	geneM0
MAK16	geneM1
ZNF667	geneM8
SIRPA	geneM1
GRK6	geneM0
PRIM1	geneM0
MARCH5	geneM3
RP11-347C12.1	geneM0
SULT1C4	geneM3
CYP2A7	geneM0
ZBTB14	geneM0
CD2AP	geneM6
NUP62CL	geneM0
SFI1	geneM8
ZNF649	geneM3
ZNF248	geneM25
SNX29P2	geneM0
CHSY3	geneM22
TOR4A	geneM6
LPAR1	geneM2
MB	geneM0
OR2L3	geneM1
HIBCH	geneM10
ZNF544	geneM0
TMEM229B	geneM1
SOWAHC	geneM18
ZNF770	geneM3
AC135178.1	geneM0
ZNF876P	geneM0
NPIPB6	geneM0
HMGN5	geneM0
MIER1	geneM0
MAN1A2	geneM0
SVIP	geneM1
ZNF251	geneM8
DDRGK1	geneM0
TFDP1	geneM3
ZNF607	geneM0
ZNF334	geneM0
HSD17B11	geneM0
SZT2	geneM0
SULT1C2	geneM0
ZXDA	geneM2
RPS6KL1	geneM8
CACNA1E	geneM1
QRICH1	geneM7
MLLT4-AS1	geneM0
CSF2RA	geneM6
FKBP1C	geneM1
DDX42	geneM19
RP11-98J23.2	geneM2
RPL23A	geneM15
SLC29A3	geneM6
STYX	geneM3
UBL5	geneM15
HELZ	geneM0
TMEM116	geneM0
UCKL1	geneM0
CARD11	geneM6
ZNF485	geneM22
PEG3	geneM1
SDAD1	geneM1
SPDYE8P	geneM0
BMS1P9	geneM0
ZKSCAN8	geneM4
FAM109A	geneM30
HIST1H4F	geneM0
HYLS1	geneM1
HIST1H4I	geneM0
ZNF442	geneM3
ZNF813	geneM0
DCAF12L2	geneM0
PIM3	geneM20
ASNA1	geneM0
ASPH	geneM3
HIST1H3A	geneM0
SPRED2	geneM21
WWP2	geneM2
HIST1H2AL	geneM0
GFPT1	geneM0
UVRAG	geneM2
ZNF26	geneM28
ITSN2	geneM0
NTRK1	geneM4
BZW1P2	geneM0
MGEA5	geneM0
CTD-2173L22.4	geneM4
MT1F	geneM3
FAM115A	geneM9
ZNF69	geneM0
TXNRD1	geneM5
NRARP	geneM3
ZNF583	geneM0
F8A2	geneM0
ZNF568	geneM0
ZXDB	geneM7
ZNF480	geneM3
ZNF587	geneM0
TPM2	geneM27
FLVCR1-AS1	geneM0
ZNF280B	geneM1
SH3BGRL2	geneM1
ZNF808	geneM0
ANKRD35	geneM3
YTHDF2	geneM7
NBR2	geneM0
TMA16	geneM0
HLA-DRB5	geneM0
ATL1	geneM1
CNGA1	geneM0
MAFK	geneM0
HIST1H4E	geneM2
C1orf228	geneM0
ZNF43	geneM4
GPN1	geneM10
PLN	geneM27
ZNF28	geneM3
ITGBL1	geneM2
ZNF511	geneM25
C20orf203	geneM8
ZNF627	geneM3
KCNRG	geneM4
WDHD1	geneM0
ZNF789	geneM8
HIST1H4L	geneM0
CTNND1	geneM3
DDX39B	geneM4
ZNF658B	geneM0
SH2D1B	geneM2
ARC	geneM21
AC073343.1	geneM0
NUDT16	geneM0
TLK1	geneM7
LRBA	geneM0
C3orf35	geneM0
ZNF536	geneM2
MMP17	geneM12
BAZ1A	geneM5
COPS8	geneM0
PPIAP22	geneM2
CCDC69	geneM0
MDM4	geneM0
RYR2	geneM1
AC004878.3	geneM0
ZNF534	geneM4
KLHL9	geneM2
NCOA6	geneM7
STK39	geneM2
ABHD17AP2	geneM0
C6orf89	geneM9
CALM1	geneM1
LPA	geneM0
FAM19A2	geneM1
TTC37	geneM8
TUSC1	geneM0
PAPSS2	geneM5
AC012615.1	geneM0
SLC9A6	geneM9
FAN1	geneM0
ABCA4	geneM0
EIF1AY	geneM0
IPO9	geneM1
CEP290	geneM11
SSBP3-AS1	geneM0
C1orf85	geneM4
FAM179B	geneM1
DLL1	geneM3
ANKRD13B	geneM0
ECI2	geneM3
UNC13B	geneM1
C19orf45	geneM2
LDB1	geneM0
PPP1R14C	geneM1
CTR9	geneM0
SMOC1	geneM3
F5	geneM0
MSRB1	geneM3
LRRTM3	geneM1
ZNF652	geneM2
SMURF1	geneM2
SLC5A3	geneM0
RP5-857K21.11	geneM0
GPATCH3	geneM0
GATSL2	geneM0
CDC42BPB	geneM4
PLXNB3	geneM2
OXCT2	geneM0
RPL10A	geneM15
COLGALT2	geneM2
EGFL6	geneM23
RCSD1	geneM6
RASSF9	geneM2
FAM169A	geneM17
ZNF830	geneM11
GRIN3A	geneM16
CNOT7	geneM1
TMEM184B	geneM0
MTOR	geneM9
SCAMP5	geneM1
ZNF521	geneM0
BRINP2	geneM3
LRIG2	geneM29
PNP	geneM5
GK	geneM0
FOXJ3	geneM7
ZNF358	geneM12
SFT2D1	geneM0
CD247	geneM0
GRM3	geneM2
CHAMP1	geneM7
INPP5F	geneM1
ARHGAP11A	geneM2
SUCNR1	geneM6
HMGN2	geneM4
SELM	geneM0
UBE2J1	geneM0
GJC2	geneM2
OPA1	geneM1
DENND4B	geneM1
RYR3	geneM3
ZNF277	geneM0
KTI12	geneM0
DUSP27	geneM1
SELT	geneM0
ARHGEF15	geneM26
TOX	geneM0
CES1	geneM27
CD3E	geneM2
RUSC2	geneM1
FICD	geneM2
OSTC	geneM0
HSD3BP5	geneM2
R3HDM4	geneM0
TSEN15	geneM2
LTN1	geneM2
RUNDC1	geneM1
CCDC152	geneM0
MIR4461	geneM0
C9orf96	geneM1
GRK5	geneM0
TYW1	geneM0
DCAF12	geneM3
SFMBT2	geneM3
PNMA5	geneM31
ITPRIPL1	geneM0
SMC5	geneM20
PRMT6	geneM2
SHISA4	geneM0
KIAA1737	geneM0
CAPZA2	geneM1
TOP1	geneM10
PRC1	geneM8
BHLHB9	geneM13
MAP3K3	geneM0
L1CAM	geneM7
SREBF2	geneM0
C1orf174	geneM0
POU3F3	geneM3
RASGEF1A	geneM12
C9orf114	geneM0
RPL39	geneM15
DZIP3	geneM8
KIAA0753	geneM8
DCLRE1A	geneM0
ATG9A	geneM1
NOS1AP	geneM1
CSAG1	geneM0
APRT	geneM4
GPRASP1	geneM9
TBKBP1	geneM12
MAGEE1	geneM1
CCDC167	geneM15
ZFP2	geneM8
SOWAHA	geneM31
L3MBTL3	geneM0
DMD	geneM0
MFAP3L	geneM0
NAGA	geneM6
SMG5	geneM0
KIAA1279	geneM7
TGM2	geneM5
ARMCX6	geneM0
PJA2	geneM1
RORB	geneM0
SGMS1	geneM2
RN7SKP173	geneM0
RN7SKP74	geneM0
RN7SKP95	geneM0
RN7SKP163	geneM0
RN7SKP255	geneM0
RN7SKP203	geneM0
RN7SKP160	geneM0
RN7SKP180	geneM0
RN7SKP76	geneM0
RN7SKP71	geneM0
RN7SKP78	geneM0
RN7SKP124	geneM0
RN7SKP239	geneM0
RN7SKP9	geneM0
RN7SKP80	geneM0
RN7SK	geneM0
RN7SKP292	geneM0
RN7SKP187	geneM0
RN7SKP269	geneM0
RN7SKP230	geneM0
AL356475.1	geneM0
AL445199.1	geneM0
AL353898.2	geneM0
RP11-498P14.5	geneM1
CTA-221G9.11	geneM1
RP11-98D18.9	geneM0
AL590822.1	geneM0
AP001007.1	geneM6
ZNF525	geneM0
AC012358.7	geneM0
AC006019.3	geneM0
RP11-296A18.3	geneM0
RP3-337H4.8	geneM0
AC105020.1	geneM0
RP13-36G14.3	geneM0
AC009061.1	geneM13
AC020907.2	geneM0
AC104600.1	geneM0
RP11-820K3.3	geneM0
LINC00449	geneM0
RP11-77K12.4	geneM2
INF2	geneM2
PDCD4-AS1	geneM0
FAM83H-AS1	geneM0
AC131571.2	geneM3
RBMS3-AS2	geneM0
RP11-176H8.1	geneM4
AC004771.1	geneM0
AC138951.1	geneM2
AL021707.1	geneM0
RP5-886K2.1	geneM0
AL137059.1	geneM0
AL512652.1	geneM0
RHOT1P2	geneM0
GP1BB	geneM0
AL136531.1	geneM0
AC007690.1	geneM0
AC083799.1	geneM4
AC106827.1	geneM0
AC007618.3	geneM0
RP4-562J12.2	geneM4
OR2L2	geneM1
EFCAB2	geneM0
COX20	geneM3
CHML	geneM4
IBA57-AS1	geneM0
C1orf95	geneM0
AC092811.1	geneM0
CAPN8	geneM0
TATDN3	geneM4
SERTAD4-AS1	geneM2
C1orf132	geneM0
CR1	geneM0
C6orf99	geneM0
LINC00862	geneM2
RAET1G	geneM0
C1orf53	geneM0
SAMD5	geneM0
ECT2L	geneM4
GPR52	geneM17
RP11-296O14.3	geneM1
FCGR3A	geneM6
TMEM244	geneM1
CENPW	geneM1
MSTO2P	geneM4
SPRN	geneM1
FAM229B	geneM2
FANK1	geneM0
LOR	geneM0
METTL10	geneM4
DDO	geneM3
CCDC162P	geneM0
LINC00222	geneM0
ADAMTSL4-AS1	geneM0
PPAPDC1A	geneM5
BVES-AS1	geneM2
LINC00577	geneM0
HIST2H3C	geneM6
HIST2H2AA4	geneM0
HIST1H3H	geneM0
HIST2H2BF	geneM0
AL358813.2	geneM0
FAM72C	geneM0
HIST2H3PS2	geneM0
HIST2H2BC	geneM0
NBPF16	geneM0
NBPF20	geneM14
NBPF24	geneM0
PFN1P2	geneM0
HIST2H3A	geneM6
HSD3BP4	geneM0
HSD3B1	geneM0
HSD3BP2	geneM1
HSD3B2	geneM1
ATP1A1OS	geneM2
RBM20	geneM2
C6orf164	geneM4
C6orf163	geneM0
SNHG5	geneM15
RP11-451M19.3	geneM3
RIPPLY2	geneM1
GDI1	geneM7
PCMTD2	geneM0
SOX18	geneM0
CYP17A1-AS1	geneM0
LIME1	geneM0
RP11-261N11.8	geneM0
KHDC3L	geneM0
LINC00632	geneM0
SAMD13	geneM1
FAM127B	geneM7
CCDC160	geneM3
C1orf141	geneM0
EFCAB7	geneM24
RP11-188C12.3	geneM0
C9orf37	geneM0
RP11-290F20.1	geneM0
LCN8	geneM1
LIPJ	geneM4
TRPC5OS	geneM3
LRIT2	geneM0
RP11-465L10.10	geneM0
LRRC73	geneM1
LINC00963	geneM20
RP11-247A12.2	geneM0
FOXO6	geneM2
TCEAL5	geneM11
SYS1	geneM10
TCEAL6	geneM11
RP4-545K15.3	geneM0
INPP5B	geneM0
RPA4	geneM0
TDRG1	geneM0
LINC00951	geneM0
NEU4	geneM3
MAFB	geneM6
TRAF3IP1	geneM11
BMP2KL	geneM2
CHIC1	geneM1
NAP1L6	geneM0
GIGYF2	geneM11
C2orf72	geneM3
RUFY2	geneM4
NHSL2	geneM0
GGTA1P	geneM4
PHACTR4	geneM0
CLPSL1	geneM1
ASAH2B	geneM1
AGAP6	geneM8
TIMM23B	geneM0
ZDHHC18	geneM10
C10orf128	geneM2
BMS1P5	geneM0
AGAP7	geneM0
AGAP10	geneM0
GPRIN2	geneM0
SYT15	geneM2
BMS1P1	geneM0
TMEM57	geneM14
PTPN20A	geneM0
ZDBF2	geneM8
GGNBP1	geneM0
AC011737.2	geneM0
DAXX	geneM10
BMPR2	geneM7
TCEA3	geneM3
PFDN6	geneM0
RING1	geneM14
HSD17B8	geneM4
RXRB	geneM0
OXLD1	geneM4
RP11-713P17.3	geneM1
COL11A2	geneM8
HLA-DOA	geneM6
HNRNPCP2	geneM0
BRD2	geneM7
HLA-DMA	geneM6
TAPSAR1	geneM6
COL5A2	geneM1
PSMB8	geneM32
TAP2	geneM32
SPIN3	geneM0
RP11-622K12.1	geneM7
TMEM235	geneM2
TNRC6C-AS1	geneM2
HLA-DRA	geneM6
BTNL2	geneM4
COL15A1	geneM27
NOTCH4	geneM0
PBX2	geneM7
AGER	geneM0
RNF5	geneM2
AGPAT1	geneM7
DFNB59	geneM4
PRRT1	geneM7
FKBPL	geneM0
MRPL38	geneM0
SMIM5	geneM2
ERICH2	geneM0
SP5	geneM0
CYP21A1P	geneM0
STK19	geneM0
BTBD17	geneM3
DXO	geneM0
SKIV2L	geneM0
C9orf129	geneM0
NELFE	geneM4
NXPE2	geneM0
ZBTB12	geneM2
SDHD	geneM3
EHMT2	geneM14
C1orf134	geneM0
AC005042.4	geneM0
LAYN	geneM2
NEU1	geneM10
C6orf48	geneM15
HSPA1B	geneM10
HSPA1A	geneM10
HSPA1L	geneM10
LSM2	geneM0
VARS	geneM0
VWA7	geneM1
CARD16	geneM6
CASP12	geneM0
MBD5	geneM7
MSH5	geneM4
ABHD16A	geneM25
LY6G5C	geneM0
CSNK2B	geneM7
GPANK1	geneM0
C6orf47	geneM2
FAM155A	geneM1
APOM	geneM4
C9orf170	geneM4
BAG6	geneM7
PRRC2A	geneM7
AIF1	geneM6
LST1	geneM6
NFKBIL1	geneM14
ZNF814	geneM0
MICB	geneM0
ZNF551	geneM0
MICA	geneM0
ZNF805	geneM3
HLA-C	geneM0
POU5F1	geneM0
AC024580.1	geneM0
CCHCR1	geneM0
PSORS1C1	geneM2
CTD-2514C3.1	geneM0
DHX16	geneM19
C6orf136	geneM7
C10orf115	geneM0
MRPS18B	geneM0
PPP1R10	geneM7
ABCF1	geneM19
PRR3	geneM7
LILRB3	geneM5
DDR1	geneM3
LRCOL1	geneM1
RP11-304F15.3	geneM0
AC013268.5	geneM0
GNL1	geneM9
HLA-E	geneM5
TRIM39	geneM0
RP11-638F5.1	geneM2
ZNF468	geneM0
ZNF616	geneM3
RNF39	geneM0
PPP1R11	geneM7
AC115618.1	geneM0
HLA-J	geneM0
ZNRD1-AS1	geneM22
PTCHD2	geneM3
GNB2L1	geneM0
TBC1D8	geneM0
HLA-F	geneM32
ZFP57	geneM2
CRHR1-IT1	geneM24
RPS26P8	geneM0
ASPDH	geneM1
MOG	geneM2
OR2H2	geneM0
CBY3	geneM0
CTD-2126E3.1	geneM0
AKT1S1	geneM0
FAM153C	geneM8
GABBR1	geneM3
CASC10	geneM30
C10orf113	geneM0
AC012307.3	geneM0
MAMDC2-AS1	geneM0
C9orf135	geneM0
TRIM27	geneM13
C10orf112	geneM0
AC083899.3	geneM1
CTC-308K20.1	geneM0
RANBP17	geneM4
FAM196B	geneM2
CTD-3232M19.2	geneM0
KM-PA-2	geneM0
RP11-15J10.1	geneM0
CR769776.1	geneM4
ZNF204P	geneM1
CBWD6	geneM17
CTD-3065J16.6	geneM0
AC104135.3	geneM0
FOXD4L6	geneM1
PGM5P1	geneM2
RP11-111F5.4	geneM2
FAM27E4	geneM0
FAM27E2	geneM0
TTC25	geneM0
RP11-475I24.1	geneM0
MRPL53	geneM15
FOXD4L2	geneM0
RP11-204M4.2	geneM4
MROH6	geneM0
ATXN2	geneM7
DCTN1	geneM9
PNMAL2	geneM9
TCTN1	geneM0
FAM216A	geneM1
ZBTB48	geneM4
FAM201A	geneM2
IGFL2	geneM4
IGFL4	geneM0
GPR20	geneM0
MZT1	geneM17
SPINK9	geneM0
ZNF155	geneM0
C11orf83	geneM0
FBXO48	geneM7
AC074391.1	geneM0
CD177P1	geneM0
ATP6V0E2-AS1	geneM0
CD177	geneM0
PSG5	geneM2
ZNF783	geneM14
ZNF425	geneM4
LRRC10B	geneM0
C12orf73	geneM7
PCDHGA1	geneM0
AC006486.1	geneM0
PCDHA9	geneM0
PCDHA8	geneM0
PCDHA7	geneM1
PCDHA5	geneM0
PCDHA4	geneM0
PCDHA2	geneM0
PCDHA1	geneM0
TRIM13	geneM34
RP5-842K16.1	geneM0
SPIRE2	geneM12
AARD	geneM0
RP11-830F9.6	geneM0
CCL4L1	geneM0
CCL3L1	geneM0
RP11-707M1.1	geneM1
RP11-863P13.4	geneM1
CTC-425O23.2	geneM0
SLFN12L	geneM0
FLJ00104	geneM0
SLC35B4	geneM9
SYCE1L	geneM0
CXorf30	geneM3
TMEM231	geneM4
FAM71F2	geneM0
CCNI2	geneM2
TMEM240	geneM0
COX17P1	geneM0
CTD-2210P24.4	geneM4
CDKL4	geneM0
TMEM88B	geneM2
C4orf47	geneM0
TRIQK	geneM17
SDHAF1	geneM0
ARID3C	geneM1
PSENEN	geneM0
C11orf91	geneM4
LINC00654	geneM1
ZBTB10	geneM3
C4orf46	geneM2
SCGB2B2	geneM4
CCDC144NL	geneM0
LGR4	geneM3
FAM106B	geneM0
PSMB10	geneM2
VIT	geneM21
RP11-514P8.6	geneM0
SPDYE2	geneM0
RPSAP58	geneM0
E2F4	geneM0
PDE7A	geneM1
TMEM170B	geneM0
CSPG4P10	geneM0
CSPG4P9	geneM0
MUC12	geneM1
CTXN3	geneM1
SNX2	geneM0
SAP25	geneM0
NT5M	geneM4
SARNP	geneM11
GPR56	geneM3
IPO7	geneM10
PRR13	geneM1
TECPR1	geneM9
MT1H	geneM0
MT1A	geneM5
C15orf59	geneM3
MT1M	geneM5
CFI	geneM5
SAMD9	geneM32
CNEP1R1	geneM0
KRT81	geneM4
EXOC3L4	geneM0
TP53TG3D	geneM1
TP53TG3C	geneM1
ATP6AP1L	geneM0
CCDC85C	geneM3
AC007000.12	geneM0
AC004980.7	geneM0
CALML3-AS1	geneM4
AC013472.3	geneM0
C2CD4B	geneM0
AC006014.10	geneM0
RGL3	geneM0
NAP1L4	geneM11
RP11-345J4.8	geneM0
TMSB4X	geneM15
TMEM256	geneM2
CHKB-AS1	geneM0
CPT1B	geneM25
RP11-497E19.1	geneM1
RP11-497H16.6	geneM0
SMN2	geneM0
SERF1B	geneM0
POM121B	geneM0
AC006995.8	geneM0
HMGN1	geneM0
STAG3L1	geneM0
MUC19	geneM1
DENND6B	geneM8
EIF3CL	geneM0
RP4-610C12.4	geneM1
LCMT1	geneM7
WI2-81516E3.1	geneM4
LINC00898	geneM1
MFSD2B	geneM0
CDPF1	geneM4
LIN52	geneM0
RP11-706O15.7	geneM0
RP11-706O15.5	geneM0
RP11-706O15.1	geneM0
ACOT6	geneM3
SMIM11	geneM0
RP11-798L4.1	geneM0
DPF3	geneM3
ADARB2-AS1	geneM2
CYP2D7P1	geneM8
LINC00634	geneM8
LYRM5	geneM0
C17orf107	geneM0
ITSN1	geneM3
ITPRIPL2	geneM6
AL359878.1	geneM0
DENND1C	geneM6
RP11-1212A22.1	geneM0
CRYZL1	geneM7
RP9P	geneM20
C5orf51	geneM3
CATSPER2P1	geneM0
LOH12CR2	geneM4
CYS1	geneM0
PPAPDC2	geneM4
KLRC2	geneM0
KLRC3	geneM0
TPTE2P6	geneM1
C16orf96	geneM3
GMNC	geneM0
TTC23L	geneM0
RFPL3S	geneM0
C1QTNF9B-AS1	geneM2
C1QTNF9B	geneM0
KRTAP5-2	geneM0
KRTAP5-1	geneM0
RPS3AP47	geneM0
FAM90A2P	geneM0
C1RL-AS1	geneM0
RP11-3B12.4	geneM0
BHLHA9	geneM0
ZNF316	geneM0
SRRM2-AS1	geneM4
PDPK2	geneM0
CEMP1	geneM0
OLIG2	geneM2
C21orf62	geneM5
C21orf49	geneM0
RNPS1	geneM7
HSP90AB2P	geneM0
USP17L6P	geneM0
RP11-689P11.2	geneM8
NYNRIN	geneM3
DNAJC19	geneM1
CTA-373H7.7	geneM0
AC005841.1	geneM0
DEFA1	geneM0
DOK6	geneM0
HN1L	geneM2
ZDHHC11B	geneM0
LINC01002	geneM0
RP11-503N18.1	geneM1
EGFEM1P	geneM0
GOLGA8O	geneM0
TMEM191C	geneM0
P2RX6P	geneM1
HERC2P9	geneM8
GYG2P1	geneM0
HBA1	geneM0
AC023490.1	geneM0
HBM	geneM0
RP11-1084I9.1	geneM0
ATP10A	geneM26
AP000525.9	geneM1
ANKUB1	geneM0
C3orf72	geneM0
HCP5	geneM6
HLA-H	geneM0
HCG27	geneM0
COL6A6	geneM2
H1FX-AS1	geneM0
RAB12	geneM0
TMEM200C	geneM0
PPIAP30	geneM0
HLA-A	geneM0
PTPLB	geneM2
WDR52	geneM31
RP11-553A10.1	geneM4
LNP1	geneM1
VGLL3	geneM27
PRSS50	geneM0
TRIM71	geneM0
ZCWPW2	geneM0
ANKRD28	geneM2
COLQ	geneM8
METTL6	geneM1
AC022007.5	geneM0
SETD5-AS1	geneM0
XKR4	geneM16
MIR219-2	geneM2
GPX3	geneM1
DIO2	geneM3
C11orf31	geneM8
GNRHR2	geneM1
AKR7L	geneM4
STK38L	geneM13
SACM1L	geneM1
TSN	geneM4
SLC48A1	geneM2
KB-1572G7.3	geneM0
PRR22	geneM4
